review_id,order_id,user_id,merchant_id,driver_id,merchant_rating,driver_rating,comment,created_at
3d27e3c9-7f85-4a54-92b9-7e30751cfe6a,6bd3c7f8-b9ee-4fdd-8403-5075ce9abf5d,78b7acbe-d649-429a-897b-2f1f0286ea19,ad7c2878-e62e-45d3-84bc-e2c4a29848f2,f6a7af4e-2105-43e8-afa1-28e28cfbe30d,5,4,Cepat sampai,2024-03-02 06:11:11
7f60a24b-af44-4b18-85e1-df8dea696908,79b698af-2819-4e72-ae19-01945cbdab71,b918c3d9-4edc-45ed-b31f-a5f65ae086d7,ee0276a9-c3a2-4c27-ae99-a870a57cfb4f,bdc9b9f7-f065-4be5-bc0a-a41ecae469ea,3,5,Recommended!,2024-06-17 08:34:44
7bcec70b-3912-4711-84fd-5fb398b528a2,d0b13069-f030-47f8-8b8d-20743f64ed3e,0feb46bb-1049-4218-93c2-0b601bfc0431,507b21c3-d5cb-4615-aaa7-b0c71add2cec,a0459ce5-4864-4c59-82bf-fac1a21a3bd8,4,5,Enak banget!,2024-09-10 06:41:19
83a71c8a-e0d1-4cc2-b2a8-45ee77e5c215,c5470511-6bd6-4b39-9473-174e28cc5e1e,f676a7d7-072c-414c-aecf-f2cf1a468863,365a7971-b75b-4bcc-aac4-c98c7abb801f,96f7bc94-9c6a-4003-b53b-01c4fa6da2b1,4,4,,2024-06-20 04:03:07
f480e973-ad46-49fe-bbbb-41a99b55bb14,1bf5b912-050c-4715-acd8-07f0ab515349,c5a36bd1-a7c1-42a2-a5c9-dca3eb1d7264,a7800a5d-0f6c-4504-810a-fed80f6067de,96f7bc94-9c6a-4003-b53b-01c4fa6da2b1,3,3,Mantap jiwa,2023-02-10 15:00:16
151c8f3a-f2c0-4652-ac7f-57e9b8e2bc9a,2e076d3f-cc0c-43f2-bf72-89d0077cfb9a,f433c9a9-b872-4450-bd3a-5cf30b96fe20,0116e5a7-01aa-471e-8125-df4325db3ff0,bf8b49bb-e195-4415-9aee-38c54a546ae0,3,5,,2023-07-16 17:21:29
3de850e8-4b5b-46bf-9621-ac6960a7e9f4,ace25822-9f11-454d-8982-313e7f151ec8,48fc53ba-b212-48a8-a590-c5a840922b71,532646a6-cbff-4ba9-9c42-1bb54698daa5,7c37c3b1-62b5-4bd8-8a5a-10a1b8087ac0,4,4,Recommended!,2024-11-20 14:02:56
46858b80-85ef-4c29-b4ab-0dd6dbab9fa4,a174b8f1-1f95-4fd9-a53e-781938eae635,6d906f1f-ee49-41d6-b447-eba3f5acb67a,22aedc56-f82c-40ec-bbb9-1cfcd9ceaab0,512cdddf-9ead-42ec-ba5d-b039cafb3719,3,3,,2023-07-08 21:26:59
6e229b03-55c4-4531-aaaa-d3c54289024d,a4e6c6ee-bdb6-4ce2-94d5-904bff096e9d,ddcdf406-1073-41c3-a515-32a2699a1117,b21b961d-c798-463e-af44-d3cb4e99102f,a9c1d5e7-e834-4e7b-b712-197ed7960c7d,3,4,Lumayan,2024-10-28 06:06:18
79a35343-f3ff-4eed-96cb-2df5fc5e0d51,352b66dd-96a4-4dbb-8b20-7293eb69f99d,0270e7b2-f5fd-4c7d-bdb3-a229caff7afa,ef6612cc-4428-485d-ae6a-84b8fe80f744,3eb795ee-f344-4fab-be51-ba32afbbea2b,5,4,,2023-01-09 08:09:26
d4ee7080-6020-4f96-9074-9467e4bd452f,290fd0f1-8bae-43ed-90aa-d1dfa78a6e3a,a1729e53-359e-4860-8b59-b78ccb25ed14,6639f7ab-a7ef-455d-8fb9-bc312876aaf1,d1d940f3-abcd-4e0c-a990-1fa8f257e776,3,3,,2024-04-15 10:07:28
