order_id,user_id,driver_id,merchant_id,status,payment_method,subtotal,delivery_fee,discount,total_amount,order_time,delivered_time,delivery_lat,delivery_lon,delivery_area
3b71c047-c726-43c6-9a2c-e20689c91d57,3d893de6-81cc-4a53-b52b-28bb741084ef,fb6c8e95-2304-461e-a2d3-5c2e990ea376,e08a92df-7737-4a1a-bade-ec985438174a,delivered,OVO,30000,10000,0,40000,2023-07-27 23:13:52,2023-07-27 23:30:52,-6.175563,106.746913,Jakarta Barat
9715dee4-811b-48da-a71a-b1c5a5715b5d,d62d8b55-75c0-486d-9bee-eca90c14c824,90dfd80b-da4b-438f-a799-bac010affd20,7e1a01ea-c2d5-4286-acd2-3378e7709c58,delivered,DANA,52000,7000,0,59000,2023-11-28 04:01:01,2023-11-28 05:01:01,-6.247635,106.80934,Jakarta Selatan
a5f3792e-1b73-432b-8d40-1e72f9473444,84dcf037-943c-4091-aaa8-43496ccdcc03,76f40012-49e8-4c7f-90c5-bd48dce2d479,1fb34dcf-d12b-4010-875b-fe5b76ac3876,delivered,OVO,50000,10000,2000,58000,2023-12-21 02:54:08,2023-12-21 03:34:08,-6.185624,106.909934,Jakarta Timur
cebd4f43-febe-42fc-803d-ec966ace30b0,1f4c583a-c228-409d-96f8-0861bbb8d32d,f72cd143-bb66-42f4-8898-5501ec88560d,fb569b8c-6da5-46bf-b9ce-135a7b98d7ca,cancelled_by_driver,Cash,255000,2000,0,257000,2024-12-23 08:08:51,,-6.155653,106.814841,Jakarta Barat
e6701fb2-a2c2-4b1e-b772-ee4f706cfdbb,4796912d-f3c6-4830-9697-3ae6ba71e655,f7a6e442-085e-4eab-8699-6ab8d49f7b6a,aa8bf295-4edb-4316-bcf7-7c27d8d963c4,cancelled_by_driver,Cash,143000,7000,0,150000,2023-08-31 02:52:22,,-6.117524,106.860701,Jakarta Utara
49683d11-1b7b-4371-8844-91a4685c1559,9b1cf507-0e43-4138-8a44-8fe5a06d197a,5ea247c9-efad-4496-a080-a2cf0ddd394f,bb3900f6-fd98-438d-9dea-7e865d1b0943,delivered,BCA Virtual Account,99000,2000,5000,96000,2024-08-29 10:55:24,2024-08-29 11:45:24,-6.246643,106.830211,Jakarta Selatan
46cfa1a7-29b9-47aa-9ddb-6408814e550e,bad75d74-dbe7-4f5c-a1bc-b1963fdbc18b,535e15d9-a38b-4ba9-ba23-48e176777a7e,1c9a01fa-d3ce-4210-a125-a1b1ddf2f9ff,delivered,Cash,48000,2000,0,50000,2023-04-22 18:11:02,2023-04-22 18:45:02,-6.239171,106.849165,Jakarta Selatan
e9eaab09-073b-494e-97d4-6b4d4f837f9b,0bb22824-7f34-4562-aed8-6126e700cffb,cf2d18bc-755c-4dbd-b508-a54e6fcd275c,7afba79a-5d95-47e8-b55c-7ebf6127b8b7,cancelled_by_driver,GoPay,94000,5000,10000,89000,2024-09-10 14:28:21,,-6.101188,106.836141,Jakarta Utara
b8c4d262-5fb1-46d1-bf2e-632644e03a56,fcaecd5a-d6cf-4bd1-b96c-ce8049e41019,45b0ada3-ec5a-4022-89b9-b5c9fd9e7f5d,58e22b82-3c66-4e9c-b23e-fa35b2d5e6d5,delivered,Cash,36000,3000,10000,29000,2024-11-26 11:42:02,2024-11-26 12:06:02,-6.149654,106.771203,Jakarta Barat
000781cc-52e7-4af5-a7b6-b76fbc14a48b,81f4d2ed-e645-4178-be0c-b0a972dc8c69,b00edb8c-b377-489a-b77e-528253816b4e,b985f41c-b19d-4155-b43c-9763a4037f76,delivered,Cash,160000,10000,0,170000,2023-05-04 10:39:45,2023-05-04 11:09:45,-6.129577,106.888237,Jakarta Utara
c83267b9-5a29-429c-b005-7db5de7651f7,9f9d513e-db52-4bc6-b4dc-2105b9bb6286,816f1402-7ca3-48f3-a513-8628921434c8,71869006-0ddd-424b-8f4d-2c7309b1652c,delivered,OVO,162000,7000,10000,159000,2023-08-17 14:39:30,2023-08-17 15:14:30,-6.155128,106.853867,Jakarta Pusat
ee320666-3f83-4b1e-89ae-d544e361dfc4,96b20254-37cb-46b5-9583-fdff95321101,b819bf86-df21-4c2c-88c4-38f1eb3b27e4,141718bf-c6f7-4d35-927e-0035d5af4382,cancelled_by_driver,DANA,140000,10000,0,150000,2023-05-28 03:48:57,,-6.153324,106.80946,Jakarta Barat
4625916a-bf43-46ce-ae8f-c96ddd6cd4a4,378dda9e-8bb3-4aa7-b126-34ae1a261685,31fc6335-726e-4bef-a910-07c3871d5d9e,b5171c6e-c8d1-4b11-b623-0cd3428802a9,delivered,OVO,12000,5000,0,17000,2023-08-07 17:36:07,2023-08-07 17:54:07,-6.163356,106.748883,Jakarta Barat
094a0b25-6d4e-4542-8212-30f2a939c2ec,de66c82b-9357-48b1-9cb3-b293e16309f1,ebe807a4-7d4e-40d7-bbd1-c1cd44fdbaac,42e53ffc-d66f-45a1-a692-6a750c076725,cancelled_by_driver,DANA,90000,10000,5000,95000,2023-01-04 15:25:16,,-6.213105,106.943736,Jakarta Timur
a5f9a7c2-73aa-42ce-9086-8f827906efcd,c5549f4f-a1b9-4422-8c65-2521ef132dc1,6d12b4c5-d413-41e1-9bd9-0731d6d109fc,758c5d45-a577-4f28-907f-f21d8dc2cf57,delivered,OVO,16000,10000,10000,16000,2024-09-28 18:31:10,2024-09-28 19:21:10,-6.15083,106.867328,Jakarta Pusat
05911468-159c-4ef8-9f1f-b9148cacdc92,4409b876-8e74-4d38-b6b8-819362bb5475,dc0b775e-d4a4-49c9-befc-8ab8d5e09e04,fde108b6-535a-42e6-adc1-cb91f37e3f92,delivered,OVO,220000,5000,0,225000,2024-02-19 18:36:38,2024-02-19 19:35:38,-6.157089,106.822773,Jakarta Pusat
e68feb8d-aeb2-4e97-90fe-93c2606bab57,7b8bd28b-24a2-41d5-81b7-a5a3f2d0d371,9db35de4-af90-40fd-993a-d43273285592,09fd11c4-5e05-4ac9-b966-a456f96589d2,cancelled_by_driver,Cash,40000,3000,2000,41000,2023-05-24 10:17:25,,-6.153142,106.79153,Jakarta Barat
78adb8e0-df5e-4313-9fa8-947fad96615b,65f37087-e070-4e49-a0eb-3c5fb8ba4db0,c0623e4e-affc-4ec4-83a1-2e35a54b5a42,c45f410e-2588-4f77-b796-12cae06415b0,cancelled_by_driver,OVO,86000,7000,0,93000,2024-03-13 07:46:57,,-6.163332,106.840988,Jakarta Pusat
7eb05134-bfda-4a1d-b21f-cd3584450060,9757e65b-89ca-4f25-a326-72f23e8c3456,1aebe22c-bdb6-49b5-b901-d8378f187bb9,415db670-f122-4467-982a-8b2488c0dd3a,cancelled_by_driver,DANA,230000,2000,0,232000,2023-03-23 06:46:49,,-6.130894,106.869489,Jakarta Utara
357c55e8-5705-4113-9cb4-c0466bdacd00,f2a5ea8d-da85-40c5-b357-4a7e311f830e,0541adbc-bf7e-4737-b48d-d3e59904e69a,8d9acc11-13b4-4b74-a0f8-35b8d86ff3fd,cancelled_by_driver,BCA Virtual Account,106000,3000,0,109000,2024-01-21 05:13:14,,-6.141225,106.768646,Jakarta Barat
27fc4388-852f-486a-837e-e58c7da917a4,ecef80e7-4321-4652-81e6-a6f3e48163fb,faaf6b18-6e01-4b96-a7ed-c822add9c886,815f43cd-face-4c68-a6d3-46a0cc9dd305,delivered,BCA Virtual Account,101000,7000,10000,98000,2024-02-23 23:38:47,2024-02-23 23:54:47,-6.14107,106.779948,Jakarta Barat
056091e4-8b0f-419f-983e-732271914567,b9718dfa-f339-4338-82b3-ed648fc93acb,7c628019-06c9-436e-9e34-7c25cbeb2b66,e39b1a03-c4c8-4909-a432-b66118edafbe,cancelled_by_driver,BCA Virtual Account,48000,5000,5000,48000,2024-09-08 18:56:52,,-6.130761,106.915964,Jakarta Utara
03103903-0986-475b-831a-3f92ef12995f,1b3bc350-7f94-4bda-8765-957feaae876c,bc8dbe93-969b-4568-beb1-bb66dd8865e2,51d95ea3-f02b-47d0-a45b-e685f2f9fac1,delivered,DANA,112000,7000,5000,114000,2023-02-11 17:09:51,2023-02-11 17:37:51,-6.246997,106.798391,Jakarta Selatan
88ea62d6-a8af-4750-ade8-526c06204fa6,dcb12186-799a-4016-b22e-7942b901f8bb,ec58acdb-b9ee-43a5-a0c0-56447ae72afa,ea676d7a-7bba-4ac2-a2b0-ec90f13a6b48,cancelled_by_customer,DANA,70000,10000,0,80000,2023-07-31 12:15:09,,-6.123652,106.838115,Jakarta Utara
