product_id,merchant_id,product_name,category,price,is_available,created_at
a1e1baa8-4962-4ea3-b133-4f87e7021e4a,d52aa1ea-f763-46a6-bd2a-8cb35ff36e00,BBQ Ribs Original,Western,35000,1,2022-10-29 09:23:21
09f3bba4-4a01-4dd2-ac21-41be096879fd,d52aa1ea-f763-46a6-bd2a-8cb35ff36e00,Fish & Chips Jumbo,Western,20000,1,2022-10-29 09:23:21
82d6b73f-86ec-4faa-8d38-b9d2a77beda2,d52aa1ea-f763-46a6-bd2a-8cb35ff36e00,Fish & Chips Original,Western,12000,1,2022-10-29 09:23:21
fe25b5b8-0b53-464e-bdcf-546617d9cc14,d52aa1ea-f763-46a6-bd2a-8cb35ff36e00,Steak Ayam Komplit,Western,35000,1,2022-10-29 09:23:21
8662c54c-7f7c-451e-a4c7-42b5ef8bed2b,d52aa1ea-f763-46a6-bd2a-8cb35ff36e00,Steak Ayam Original,Western,15000,0,2022-10-29 09:23:21
06c4355b-448a-459d-bcef-387e0ecdb2c8,d52aa1ea-f763-46a6-bd2a-8cb35ff36e00,Steak Ayam Original,Western,12000,1,2022-10-29 09:23:21
09930487-dc02-40f6-94fa-ea2b47159109,d52aa1ea-f763-46a6-bd2a-8cb35ff36e00,Steak Ayam Jumbo,Western,45000,1,2022-10-29 09:23:21
aacd7354-db1e-4356-b820-d2b45b8be310,d52aa1ea-f763-46a6-bd2a-8cb35ff36e00,Steak Ayam Komplit,Western,50000,0,2022-10-29 09:23:21
a09b8ce6-2bc7-4ae9-a908-7f91c1a5f516,d52aa1ea-f763-46a6-bd2a-8cb35ff36e00,Steak Ayam Original,Western,40000,1,2022-10-29 09:23:21
425c1450-528f-4057-8579-3e121f241615,d52aa1ea-f763-46a6-bd2a-8cb35ff36e00,BBQ Ribs Jumbo,Western,18000,1,2022-10-29 09:23:21
