review_id,order_id,user_id,merchant_id,driver_id,merchant_rating,driver_rating,comment,created_at
b1a025fa-61ca-4327-a55e-21d3caf731f7,16a7c93a-d7ad-4f34-a042-fb950f7f1cc6,666877d7-ef56-4f75-9f61-c921f0ad7eca,463a82f9-5b99-42fb-82db-8dc32cc414d4,fb12b3a4-adca-4ff5-8148-f301d9a9a997,3,3,Cepat sampai,2023-08-07 14:27:41
16bb0da1-6cee-42d4-aa17-56a68c5131bb,2295f077-0e73-4ff9-acac-56ac77a4246f,24795fa4-895d-442f-9eb4-ea2cd1114857,9c9b3493-7fde-4d25-b420-c35da34d7671,5559c046-3de6-4a33-846a-b66c49f93304,5,5,Cepat sampai,2024-02-01 12:59:19
59c0ee0e-0faa-4cef-88c8-02cff8965ddd,e8a1de9d-f20b-42b4-9a8d-bbde1f3fa610,164a31d0-8dff-4b29-852c-c3b0df562bd2,485c2ee6-6324-45bd-9d5e-383d4c109bd3,36d39b58-0a88-4469-a73c-4e6b49652bf7,5,3,Mantap jiwa,2024-05-03 20:07:21
5849f003-d969-4fba-a254-66528d2f89fd,a2822cb1-cb16-4139-8a8d-cddb003d8f17,816c4e35-4f05-4d49-b88f-f1d4491340e0,564f3b25-c647-4e62-ae3a-465088c896a1,b7f1aded-ef02-4127-ba0d-2967603ea80a,3,3,Enak banget!,2024-09-23 09:35:50
ea1b361d-aa45-4a5c-9989-336bf919604d,9c45df4c-539a-4a40-a9d1-67b434abda0f,8c187aca-5e26-4b10-85ed-8544e9463fa3,4516978f-1f8f-43ba-bad3-47c3aace7568,3303e273-6e20-43eb-b88b-3ffe62892422,4,4,Enak banget!,2024-08-02 20:34:08
4fd70fa3-a635-4ced-be4c-af8d806a30ad,462af11d-627b-4976-b89f-aad594f1320f,b8d5485e-fd78-4d5b-b4cd-53e1d7f12a92,295385a8-765e-47f6-a618-93b5ece4601e,2e6fc4cd-ffde-472d-b3af-32c176da7ee1,4,4,Suka banget,2023-05-18 09:42:59
bd100bff-bb37-4b87-8a56-761d4fbd5c89,c215fc70-8e91-4a91-b9c8-992bbd380940,01bdd0d4-7383-4f33-a8f8-93d023369cd4,6d6a0486-0c4f-4633-a88d-fa582ab6bc2f,dbb9c082-9095-49ef-9b4f-73fbada2cd5e,4,3,Suka banget,2024-08-18 20:04:07
3cd13b60-bc5a-4e75-b1f2-97ff666a96c9,563f0f63-c43b-4653-9d82-065a274fa3f3,1debac15-3321-4b49-ad70-90e247e4487d,0e0afec4-1545-41e5-a574-cf3b0ad5aab5,60719132-8dbe-4f37-bd27-f39130fc2973,3,4,,2023-10-23 13:53:18
843497e1-fa37-4f6b-ae41-4a17e01a3c30,01c3be82-aaec-48b5-b292-da8f8493d06a,89413da0-e0dd-4d23-949a-f85b6a2f9d6d,020a50af-bdd6-4558-b56b-079cc56365b8,3a05ca36-cb3f-46fc-9902-40581b24820d,3,4,Cepat sampai,2023-06-12 20:06:31
3a78f9f7-500b-4699-a667-59724a008ed5,4ae549bb-9056-4f6c-9085-c6d702cec610,3787283d-88e5-492e-8711-cc4509bb7842,c4178905-60ad-49be-8bc6-0366c916bcf0,82674737-0488-4a34-b267-1603ab3a4288,3,4,Lumayan,2024-08-01 14:28:38
