order_id,user_id,driver_id,merchant_id,city,status,payment_method,subtotal,delivery_fee,discount,total_amount,distance_km,order_time,delivered_time,delivery_lat,delivery_lon,delivery_area,pickup_lat,pickup_lon,pickup_area
eb773a32-5de5-41e5-8055-342d9fb5741d,ad7099cf-a4b6-4d1b-8973-eec697c0bd22,d96ccce9-39d6-450d-b82d-4ad75607883e,dc6e8e51-796f-477c-9d80-145b65a7845c,jakarta,cancelled_by_customer,DANA,602800,25000,10000,617800,12.13,2024-01-20 12:24:31,,-6.130089,106.899942,Jakarta Utara,-6.226077,106.847868,Jakarta Selatan
868bed3c-c2f7-4cdb-abb7-a519a3c8c6fd,6b6f90e0-2f7a-40ae-9adb-6dc394646c58,bcc8730c-e108-49cf-9e8a-1779c6408213,2e749094-e022-4590-99fc-93526f23a47e,surabaya,cancelled_by_customer,GoPay,340000,25000,0,365000,12.56,2023-07-07 16:10:20,,-7.295395,112.684715,Surabaya Barat,-7.238439,112.783095,Surabaya Timur
f43b9665-0a3c-400b-a315-cda62fa66bcb,8ef54a99-7af9-47b7-8c38-3b3e231bf941,a0328d8f-2ca9-48c1-8e12-b2a820f1f7ab,6b31966c-a3c5-4945-a0c3-def3a0065d25,medan,delivered,Mandiri Virtual Account,120100,14000,2000,132100,4.72,2023-02-08 13:10:55,2023-02-08 13:51:55,3.57163,98.659889,Medan Barat,3.604636,98.6867,Medan Kota
2e73ccf1-585a-4533-82cd-cd03e2214ffb,6de26bc5-f330-4d53-ba3e-eef846e8d852,f952ab07-24d6-446a-9917-82cbbe5aeb06,0161e0a7-bb44-49b8-8891-8c8815b4abd6,jakarta,delivered,OVO,53000,8000,0,61000,2.49,2023-10-20 13:29:33,2023-10-20 14:14:33,-6.118945,106.88175,Jakarta Utara,-6.133862,106.864992,Jakarta Utara
fb1b9ae5-0b8b-4836-a782-6782c42be8b6,866f4f3e-2f9a-46ac-b3c5-e811a166f49e,7309591a-f2d8-4574-84ad-7fdc89585ac0,dbd866ab-1bee-4ffe-991d-e968c253edea,medan,cancelled_by_customer,GoPay,179994,17000,10000,186994,6.0,2023-12-18 20:42:22,,3.610754,98.727338,Medan Timur,3.59127,98.676882,Medan Kota
683876f5-feef-4780-9c69-7869578c9728,9e024ba1-a46e-4e66-804c-10a3e7295c40,2c398db0-17e1-4590-a2f0-bbc3e43a2b9a,386addf1-d705-4a92-8180-d0354ba1fda9,jakarta,delivered,GoPay,331000,4500,0,335500,0.99,2023-09-18 20:16:33,2023-09-18 20:51:33,-6.236309,106.853694,Jakarta Barat,-6.242995,106.847728,Jakarta Selatan
b3b9dee9-8a1e-4623-8be5-2825903c474d,8f0bf5ef-f290-4eac-8e1f-e82f04453aa3,f64e50b1-c709-4281-9618-126bd49026df,3c48baba-95db-4722-ba54-20ad4b44209f,medan,cancelled_by_driver,DANA,66000,25000,0,91000,14.2,2023-05-24 19:45:35,,3.633725,98.744361,Medan Timur,3.560736,98.639358,Medan Barat
c10b2871-9c6b-4b58-919d-7bb784d2b8db,16552d2a-66e6-4137-b8df-20fe2c2d07b9,9665d0a4-a61d-42d3-a317-59633affe4cd,61477564-7e5f-4e4a-aaa6-dbb2494b4ac0,surabaya,cancelled_by_customer,OVO,142000,7000,10000,139000,1.91,2024-01-06 11:48:35,,-7.252176,112.742271,Surabaya Pusat,-7.26939,112.742459,Surabaya Pusat
3147619c-3590-4a27-af3d-cebbad02c900,02eb1908-0333-4079-9530-6b422f706f9a,a8ff1881-c42c-42bf-883f-36ef0b640100,29e7726c-2dae-47aa-ac6a-8bd59dc9e26e,medan,cancelled_by_driver,OVO,96000,25000,2000,119000,9.3,2024-04-22 19:32:03,,3.615087,98.656655,Medan Kota,3.559809,98.719544,Medan Kota
5d798126-def6-46ea-82ef-c401ade718ee,73dca37d-ceda-4010-bc04-ab47462743fe,76f9c7fb-57db-4147-aacc-22560fa0e012,8c834c48-81b3-4614-a951-f9f035f1df7e,jakarta,delivered,BCA Virtual Account,69800,20500,0,90300,7.41,2024-03-20 20:15:12,2024-03-20 20:44:12,-6.163042,106.848018,Jakarta Pusat,-6.131362,106.90697,Jakarta Utara
